CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTIDXMIDCPNIFTY22-MAR-2022,7558.1500000,0.0000000,0.0000000,0.0000000,,7643.0500000,1.1200000,0.0000000,0.0000000,0.0000000,0.0000000
FUTSTKJSWSTEEL24-FEB-2022,631.6500000,632.3500000,661.5000000,629.0000000,657.3000000,657.3000000,4.0600000,31213.0000000,15801750.0000000,11705.0000000,10206712395.0000000
FUTSTKINFY28-APR-2022,1754.1500000,1784.2500000,1792.8500000,1748.6500000,1785.1500000,1785.1500000,1.7600000,245.0000000,48300.0000000,161.0000000,85987935.0000000
FUTSTKGSPL31-MAR-2022,302.9000000,304.8500000,305.0000000,301.7500000,301.7500000,300.7000000,-0.7200000,15.0000000,10200.0000000,6.0000000,3094595.0000000
FUTSTKBRITANNIA31-MAR-2022,3567.1500000,3585.0000000,3716.4500000,3585.0000000,3672.3500000,3672.3500000,2.9400000,112.0000000,13000.0000000,65.0000000,47716180.0000000
FUTIDXMIDCPNIFTY01-FEB-2022,7515.7000000,0.0000000,0.0000000,0.0000000,,7599.9500000,1.1200000,1.0000000,0.0000000,0.0000000,0.0000000
FUTSTKJKCEMENT31-MAR-2022,3281.1500000,3316.8000000,3345.3500000,3300.0000000,3334.9000000,3334.9000000,1.6300000,26.0000000,1225.0000000,7.0000000,4068426.2500000
FUTSTKRELIANCE31-MAR-2022,2402.5000000,2410.7000000,2433.2500000,2361.2500000,2399.8500000,2399.8500000,-0.1100000,3456.0000000,424500.0000000,1698.0000000,1021545775.0000000
FUTSTKINDIAMART31-MAR-2022,4853.6000000,4915.4000000,4949.4000000,4682.1500000,4863.4000000,4863.4000000,0.2000000,363.0000000,19950.0000000,266.0000000,96255971.2500000
FUTSTKINDIAMART28-APR-2022,4861.1500000,4863.8000000,4940.0000000,4692.0000000,4846.4500000,4846.4500000,-0.3000000,46.0000000,2025.0000000,27.0000000,9711412.5000000
FUTSTKPFC31-MAR-2022,120.1500000,120.0000000,121.6000000,118.8000000,120.9000000,120.9000000,0.6200000,257.0000000,1029200.0000000,166.0000000,124201500.0000000
FUTSTKPFC28-APR-2022,122.9500000,120.6000000,120.6000000,120.6000000,120.6000000,123.2500000,0.2400000,1.0000000,12400.0000000,2.0000000,1495440.0000000
FUTSTKZEEL24-FEB-2022,290.9000000,293.3500000,293.7000000,285.1000000,290.4000000,290.4000000,-0.1700000,23424.0000000,11202000.0000000,3734.0000000,3241784700.0000000
